Date,jdays,Tmax,Tmin,rain_mm
2019-01-01,1,36.5,16.2,0.0
2019-01-02,2,34.6,16.3,0.0
2019-01-03,3,37.8,15.4,0.0
2019-01-04,4,46.0,21.5,0.0
2019-01-05,5,26.9,14.9,0.0
2019-01-06,6,29.2,11.6,0.0
2019-01-07,7,30.6,13.6,0.0
2019-01-08,8,34.0,13.7,0.0
2019-01-09,9,27.8,13.3,0.0
2019-01-10,10,27.9,10.7,0.0
2019-01-11,11,37.3,13.0,0.0
2019-01-12,12,42.9,18.6,0.0
2019-01-13,13,37.0,13.5,0.0
2019-01-14,14,42.0,17.3,0.0
2019-01-15,15,44.3,18.1,0.0
2019-01-16,16,44.2,21.1,0.0
2019-01-17,17,40.5,26.2,0.0
2019-01-18,18,37.1,26.3,0.0
2019-01-19,19,31.8,14.1,0.0
2019-01-20,20,36.6,16.0,0.0
2019-01-21,21,37.4,18.1,0.0
2019-01-22,22,42.3,19.9,0.0
2019-01-23,23,39.3,21.5,0.0
2019-01-24,24,43.6,19.3,0.0
2019-01-25,25,43.3,26.0,0.0
2019-01-26,26,35.4,18.7,0.0
2019-01-27,27,28.6,15.0,0.0
2019-01-28,28,34.4,12.4,0.0
2019-01-29,29,37.7,13.4,0.0
2019-01-30,30,40.9,17.9,0.0
2019-01-31,31,27.7,15.7,0.0
2019-02-01,32,31.1,10.2,0.0
2019-02-02,33,38.0,13.9,0.0
2019-02-03,34,43.6,17.6,0.0
2019-02-04,35,31.6,18.4,0.0
2019-02-05,36,33.9,14.9,0.0
2019-02-06,37,33.3,17.9,0.0
2019-02-07,38,32.7,17.1,13.0
2019-02-08,39,28.3,16.1,0.0
2019-02-09,40,23.9,12.9,0.0
2019-02-10,41,27.3,6.3,0.0
2019-02-11,42,30.6,10.7,0.0
2019-02-12,43,21.4,14.1,0.0
2019-02-13,44,23.1,7.7,0.0
2019-02-14,45,26.4,7.1,0.0
2019-02-15,46,31.0,13.5,0.0
2019-02-16,47,34.5,15.9,0.0
2019-02-17,48,35.3,16.5,0.0
2019-02-18,49,30.4,20.9,0.0
2019-02-19,50,26.1,9.2,0.0
2019-02-20,51,28.1,9.0,0.0
2019-02-21,52,28.8,10.7,0.0
2019-02-22,53,33.5,11.9,0.0
2019-02-23,54,32.8,12.9,0.0
2019-02-24,55,35.3,16.3,0.0
2019-02-25,56,35.3,15.6,0.0
2019-02-26,57,36.5,15.5,0.0
2019-02-27,58,37.5,16.6,0.0
2019-02-28,59,40.4,20.2,0.0
2019-03-01,60,39.1,21.2,0.0
2019-03-02,61,38.3,20.2,0.0
2019-03-03,62,41.5,20.3,0.0
2019-03-04,63,35.7,17.9,0.0
2019-03-05,64,31.4,18.0,0.0
2019-03-06,65,22.3,11.3,0.0
2019-03-07,66,24.9,5.2,0.0
2019-03-08,67,31.6,10.2,0.0
2019-03-09,68,31.4,12.8,0.0
2019-03-10,69,23.2,15.2,0.0
2019-03-11,70,28.1,12.6,0.0
2019-03-12,71,23.9,12.1,0.0
2019-03-13,72,21.7,7.6,0.0
2019-03-14,73,26.9,9.4,0.0
2019-03-15,74,28.0,11.6,0.0
2019-03-16,75,31.6,12.2,0.0
2019-03-17,76,33.0,15.6,0.0
2019-03-18,77,34.3,17.0,0.0
2019-03-19,78,32.4,15.9,0.0
2019-03-20,79,32.3,15.3,0.0
2019-03-21,80,30.6,15.6,0.0
2019-03-22,81,35.3,17.6,0.0
2019-03-23,82,32.6,19.1,0.0
2019-03-24,83,27.9,15.3,0.0
2019-03-25,84,20.5,14.4,0.0
2019-03-26,85,23.2,5.6,0.0
2019-03-27,86,25.5,8.6,0.0
2019-03-28,87,29.9,8.7,0.0
2019-03-29,88,29.9,13.3,0.0
2019-03-30,89,19.0,5.2,0.0
2019-03-31,90,21.0,7.7,0.0
2019-04-01,91,22.4,8.6,0.0
2019-04-02,92,26.4,7.0,0.0
2019-04-03,93,29.7,8.6,0.0
2019-04-04,94,29.5,14.1,0.0
2019-04-05,95,33.5,15.3,0.0
2019-04-06,96,23.7,11.4,0.0
2019-04-07,97,27.7,4.5,0.0
2019-04-08,98,25.5,7.2,0.0
2019-04-09,99,18.9,9.2,0.0
2019-04-10,100,19.4,2.6,0.0
2019-04-11,101,20.6,5.6,0.0
2019-04-12,102,24.8,1.7,0.0
2019-04-13,103,23.9,4.5,0.0
2019-04-14,104,21.3,13.6,0.0
2019-04-15,105,28.5,6.0,0.0
2019-04-16,106,34.7,14.3,0.0
2019-04-17,107,33.6,16.9,0.0
2019-04-18,108,20.7,9.4,0.0
2019-04-19,109,27.7,8.0,0.0
2019-04-20,110,33.3,12.9,0.0
2019-04-21,111,25.9,19.2,0.0
2019-04-22,112,21.6,11.7,0.0
2019-04-23,113,23.2,9.8,0.0
2019-04-24,114,25.0,12.2,0.0
2019-04-25,115,23.4,3.4,0.0
2019-04-26,116,18.5,8.4,0.0
2019-04-27,117,19.1,-0.8,0.0
2019-04-28,118,20.7,8.3,0.0
2019-04-29,119,20.0,3.0,0.0
2019-04-30,120,23.1,6.2,0.0
2019-05-01,121,22.4,12.3,3.0
2019-05-02,122,21.4,11.9,14.2
2019-05-03,123,19.5,2.9,0.0
2019-05-04,124,17.4,8.9,0.0
2019-05-05,125,17.9,6.5,0.0
2019-05-06,126,18.7,5.9,0.0
2019-05-07,127,22.7,2.5,0.0
2019-05-08,128,17.0,6.6,4.2
2019-05-09,129,19.2,9.6,0.0
2019-05-10,130,14.7,8.0,18.2
2019-05-11,131,16.5,4.9,0.0
2019-05-12,132,16.5,9.6,0.0
2019-05-13,133,18.1,10.2,0.0
2019-05-14,134,19.9,2.9,0.0
2019-05-15,135,20.1,3.9,0.0
2019-05-16,136,19.0,3.7,0.0
2019-05-17,137,19.5,4.5,0.0
2019-05-18,138,24.1,5.8,0.0
