"Date","T.Max","T.Min","Rain"
"20240612",18.5,9.9,0.199999999999818
"20240613",16.6,10.1,0
"20240614",18.2,11.9,1.69999999999982
"20240615",16.6,7.6,1.29999999999973
"20240616",15.8,4.7,0
"20240617",12.3,6.3,0
"20240618",18.2,9.4,3.79999999999973
"20240619",15.5,6,0.199999999999818
"20240620",15.9,6.5,2.39999999999964
"20240621",15.9,6.1,4.89999999999964
"20240622",16.6,5.8,0.199999999999818
"20240623",16.3,5.7,0
"20240624",14.7,7.8,2.39999999999964
"20240625",13.3,6.8,11.1999999999998
"20240626",15.9,6.6,5.39999999999964
"20240627",18.7,5.3,0
"20240628",16.4,8.6,0
"20240629",13.3,11.7,3.5
"20240630",13.5,2,1.79999999999973
"20240701",13.3,3,0
"20240702",13.8,3.9,0
"20240703",13.7,2.3,0
"20240704",13.5,2.3,0.199999999999818
"20240705",17.1,5.3,2.69999999999982
"20240706",18,8.1,0.0999999999999091
"20240707",14.6,10.2,17.1999999999998
"20240708",15.5,7.5,0.199999999999818
"20240709",18.1,7.5,0.399999999999636
"20240710",18.3,8.1,0
"20240711",16.2,10.9,6.5
"20240712",17,5.9,0.599999999999909
"20240713",16.6,6.4,0.199999999999818
"20240714",15.7,7.3,1.69999999999982
"20240715",14.2,4.8,0.199999999999818
"20240716",14.2,6.1,1.59999999999991
"20240717",14.9,5.4,1.39999999999964
"20240718",15.1,3.8,0.299999999999727
"20240719",15.2,6.9,0
"20240720",16.4,6.8,4.39999999999964
"20240721",17.1,5.8,0.199999999999818
"20240722",18.8,6.1,0
"20240723",21.2,5.2,0
"20240724",21.5,12.3,0
"20240725",15.9,6,4.59999999999991
"20240726",18,6.2,0
"20240727",14.1,7,2.39999999999964
"20240728",14.7,2.3,0.299999999999727
"20240729",15.8,3,0
"20240730",16.3,2.1,0
"20240731",18.6,4.2,0
"20240801",17.7,5.4,0
"20240802",16.9,9.2,0
"20240803",16.5,5.1,0
"20240804",12.7,7.3,1.69999999999982
"20240805",16.1,3.8,0.699999999999818
"20240806",17.9,4.6,0.199999999999818
"20240807",19.1,5.9,0
"20240808",20.6,10.5,0
"20240809",17.6,5.5,0.199999999999818
"20240810",20,5.2,0.199999999999818
"20240811",22.2,7.9,0
"20240812",24.3,9.4,0
"20240813",24.4,14.3,0
"20240814",25.7,7.2,0
"20240815",24.1,11.8,0.399999999999636
"20240816",18.1,9.5,2.89999999999964
"20240817",17.7,8,2.09999999999991
"20240818",20.5,4.2,0.199999999999818
"20240819",23.4,9.7,0.199999999999818
"20240820",19.6,8.8,0.399999999999636
"20240821",16.2,10.6,1
"20240822",24.3,8,0
"20240823",30.5,14.4,0.199999999999818
"20240824",24.6,8.3,0
"20240825",19.4,11.8,0
"20240826",20.9,8.8,0
"20240827",28.5,8.3,0
"20240828",20.2,9.3,0
"20240829",30.1,4.7,0
"20240830",20.3,10.1,0
"20240831",20.1,8.7,0
"20240901",23.3,7.2,0
"20240902",19.2,8.4,0
"20240903",23.7,5.4,0
"20240904",25.8,12.2,0
"20240905",28.6,16,0
"20240906",17.1,14,0.899999999999636
"20240907",21,5.9,2.59999999999991
"20240908",20.5,5.8,0.199999999999818
"20240909",21,9,0
"20240910",24.8,7.2,0
"20240911",21.1,8.5,0.199999999999818
"20240912",20.8,3.7,0
"20240913",22.4,2.7,0
"20240914",20.1,4.4,0.199999999999818
"20240915",17.3,5,0
"20240916",20.4,3.3,0
"20240917",24.2,3.3,0
"20240918",27,2.2,0
"20240919",19.1,5.8,0
"20240920",19.9,6.7,0
"20240921",20.1,6.8,0
"20240922",22.1,6.9,0
"20240923",25.4,5.9,0
"20240924",18.7,12.9,0
"20240925",20.4,9.5,1.29999999999973
"20240926",20.3,2.4,0.399999999999636
"20240927",24.5,3.8,0
"20240928",20.9,10,0
"20240929",19.8,7.9,1.59999999999991
"20240930",22,6.3,0
"20241001",24,6.6,0
"20241002",27.8,9.9,0.199999999999818
"20241003",23.7,16.4,0
"20241004",21.1,11.7,10.5
"20241005",21,9.5,0
"20241006",26.2,11.8,0
"20241007",27.8,10.7,0.199999999999818
"20241008",26.5,8.6,0
"20241009",33,9.6,0
"20241010",22.9,11.8,0
"20241011",22.1,6.6,0
"20241012",26.5,8.4,0
"20241013",32.5,13.8,0
"20241014",34.2,14.7,0
"20241015",34.8,16.9,0.199999999999818
"20241016",32.5,19.9,0.199999999999818
"20241017",32.2,13.8,0
"20241018",21.2,14.1,3.29999999999973
"20241019",26.7,5.9,0
"20241020",31.2,10.4,0
"20241021",36.5,17.1,0
"20241022",20.6,14.9,0
"20241023",23.4,11.4,0
"20241024",22.7,6.9,0
"20241025",27.9,7.5,0
"20241026",31.8,11.5,0
"20241027",27.9,12.2,0
"20241028",27,7.1,0
