"date","time_days","jdays","rain_mm","Tmax","Tmin","pet_mm","irrigation_mm","daily_infiltration_mm","cumulative_infiltration_mm"
2024-06-12,0,164,0.199999999999818,18.5,9.9,1.2,0,0,0
2024-06-13,1,165,0,16.6,10.1,1,0,0,0
2024-06-14,2,166,1.69999999999982,18.2,11.9,1,0,0.69999999999982,0.69999999999982
2024-06-15,3,167,1.29999999999973,16.6,7.6,1.2,0,0.0999999999997299,0.79999999999955
2024-06-16,4,168,0,15.8,4.7,1.2,0,0,0.79999999999955
2024-06-17,5,169,0,12.3,6.3,0.8,0,0,0.79999999999955
2024-06-18,6,170,3.79999999999973,18.2,9.4,1.2,0,2.59999999999973,3.39999999999928
2024-06-19,7,171,0.199999999999818,15.5,6,1.1,0,0,3.39999999999928
2024-06-20,8,172,2.39999999999964,15.9,6.5,1.2,0,1.19999999999964,4.59999999999892
2024-06-21,9,173,4.89999999999964,15.9,6.1,1.2,0,3.69999999999964,8.29999999999856
2024-06-22,10,174,0.199999999999818,16.6,5.8,1.2,0,0,8.29999999999856
2024-06-23,11,175,0,16.3,5.7,1.2,0,0,8.29999999999856
2024-06-24,12,176,2.39999999999964,14.7,7.8,0.9,0,1.49999999999964,9.7999999999982
2024-06-25,13,177,11.1999999999998,13.3,6.8,0.8,0,10.3999999999998,20.199999999998
2024-06-26,14,178,5.39999999999964,15.9,6.6,1.2,0,4.19999999999964,24.3999999999976
2024-06-27,15,179,0,18.7,5.3,1.3,0,0,24.3999999999976
2024-06-28,16,180,0,16.4,8.6,1.1,0,0,24.3999999999976
2024-06-29,17,181,3.5,13.3,11.7,0,0,3.5,27.8999999999976
2024-06-30,18,182,1.79999999999973,13.5,2,1.1,0,0.69999999999973,28.5999999999974
2024-07-01,19,183,0,13.3,3,1.1,0,0,28.5999999999974
2024-07-02,20,184,0,13.8,3.9,1.1,0,0,28.5999999999974
2024-07-03,21,185,0,13.7,2.3,1.1,0,0,28.5999999999974
2024-07-04,22,186,0.199999999999818,13.5,2.3,1.1,0,0,28.5999999999974
2024-07-05,23,187,2.69999999999982,17.1,5.3,1.3,0,1.39999999999982,29.9999999999972
2024-07-06,24,188,0.0999999999999091,18,8.1,1.4,0,0,29.9999999999972
2024-07-07,25,189,17.1999999999998,14.6,10.2,0.7,0,16.4999999999998,46.499999999997
2024-07-08,26,190,0.199999999999818,15.5,7.5,1.1,0,0,46.499999999997
2024-07-09,27,191,0.399999999999636,18.1,7.5,1.4,0,0,46.499999999997
2024-07-10,28,192,0,18.3,8.1,1.4,0,0,46.499999999997
2024-07-11,29,193,6.5,16.2,10.9,0.8,0,5.7,52.199999999997
2024-07-12,30,194,0.599999999999909,17,5.9,1.4,0,0,52.199999999997
2024-07-13,31,195,0.199999999999818,16.6,6.4,1.4,0,0,52.199999999997
2024-07-14,32,196,1.69999999999982,15.7,7.3,1.2,0,0.49999999999982,52.6999999999968
2024-07-15,33,197,0.199999999999818,14.2,4.8,1.2,0,0,52.6999999999968
2024-07-16,34,198,1.59999999999991,14.2,6.1,1.1,0,0.49999999999991,53.1999999999967
2024-07-17,35,199,1.39999999999964,14.9,5.4,1.3,0,0.0999999999996397,53.2999999999964
2024-07-18,36,200,0.299999999999727,15.1,3.8,1.4,0,0,53.2999999999964
2024-07-19,37,201,0,15.2,6.9,1.3,0,0,53.2999999999964
2024-07-20,38,202,4.39999999999964,16.4,6.8,1.5,0,2.89999999999964,56.199999999996
2024-07-21,39,203,0.199999999999818,17.1,5.8,1.6,0,0,56.199999999996
2024-07-22,40,204,0,18.8,6.1,1.7,0,0,56.199999999996
