"date","time_days","jdays","rain_mm","Tmax","Tmin","pet_mm","irrigation_mm","daily_infiltration_mm","cumulative_infiltration_mm"
2024-04-26,0,117,0,20.4,2.8,2.2,0,0,0
2024-04-27,1,118,0,23.8,3.3,2.3,0,0,0
2024-04-28,2,119,0,27,7.4,2.6,0,0,0
2024-04-29,3,120,0,25.2,10.6,2.5,0,0,0
2024-04-30,4,121,0,19.1,8.4,1.8,0,0,0
2024-05-01,5,122,0,22.5,6.6,2.2,0,0,0
2024-05-02,6,123,0,21.6,9.3,2,0,0,0
2024-05-03,7,124,0,19.2,10.6,1.4,0,0,0
2024-05-04,8,125,0.299999999999727,17.8,12.3,0.9,0,0,0
2024-05-05,9,126,3.79999999999973,21.8,12.1,1.7,0,2.09999999999973,2.09999999999973
2024-05-06,10,127,0,22.1,8.2,2,0,0,2.09999999999973
2024-05-07,11,128,0,22.4,9.3,2,0,0,2.09999999999973
2024-05-08,12,129,0,23,10.5,1.9,0,0,2.09999999999973
2024-05-09,13,130,0,21.6,11.7,1.6,0,0,2.09999999999973
2024-05-10,14,131,5.69999999999982,15.4,13.2,0.1,0,5.59999999999982,7.69999999999955
2024-05-11,15,132,41,15.8,13.4,0.1,0,40.9,48.5999999999995
2024-05-12,16,133,9.39999999999964,20.8,9,1.7,0,7.69999999999964,56.2999999999992
2024-05-13,17,134,0,21.8,7.1,1.8,0,0,56.2999999999992
2024-05-14,18,135,0,19.7,5.9,1.6,0,0,56.2999999999992
2024-05-15,19,136,0,19.3,3.7,1.6,0,0,56.2999999999992
2024-05-16,20,137,0,21.9,6,1.7,0,0,56.2999999999992
2024-05-17,21,138,0,21.2,5.3,1.6,0,0,56.2999999999992
2024-05-18,22,139,9.79999999999973,15.3,6.2,1.1,0,8.69999999999973,64.9999999999989
2024-05-19,23,140,0,15,-1.4,1.2,0,0,64.9999999999989
2024-05-20,24,141,0.599999999999909,16.5,5.6,1.2,0,0,64.9999999999989
2024-05-21,25,142,0,19.2,2.4,1.4,0,0,64.9999999999989
2024-05-22,26,143,0.0999999999999091,18.5,2.2,1.3,0,0,64.9999999999989
2024-05-23,27,144,0,18,1.7,1.3,0,0,64.9999999999989
2024-05-24,28,145,0,17.5,2.3,1.3,0,0,64.9999999999989
2024-05-25,29,146,0,19.7,4.5,1.4,0,0,64.9999999999989
2024-05-26,30,147,0,19.6,2.7,1.3,0,0,64.9999999999989
2024-05-27,31,148,0,18,1.4,1.2,0,0,64.9999999999989
2024-05-28,32,149,0,19.7,0.1,1.2,0,0,64.9999999999989
2024-05-29,33,150,0,23.8,2.9,1.4,0,0,64.9999999999989
2024-05-30,34,151,0,22.4,12,1.3,0,0,64.9999999999989
2024-05-31,35,152,30.3999999999996,17.6,12.6,0.6,0,29.7999999999996,94.7999999999985
2024-06-01,36,153,0.199999999999818,16.7,4.9,1.1,0,0,94.7999999999985
2024-06-02,37,154,0,15.1,0.9,1,0,0,94.7999999999985
2024-06-03,38,155,0,13,0.1,0.9,0,0,94.7999999999985
2024-06-04,39,156,0.0999999999999091,11.5,1.2,0.8,0,0,94.7999999999985
2024-06-05,40,157,0,13.6,3,0.9,0,0,94.7999999999985
2024-06-06,41,158,2.09999999999991,16.4,6.2,1,0,1.09999999999991,95.8999999999984
2024-06-07,42,159,0,18.6,5,1.2,0,0,95.8999999999984
2024-06-08,43,160,0,16.2,3.3,1,0,0,95.8999999999984
2024-06-09,44,161,0,15.9,4.4,1,0,0,95.8999999999984
2024-06-10,45,162,3.59999999999991,16.3,7.2,0.9,0,2.69999999999991,98.5999999999983
2024-06-11,46,163,0.199999999999818,15.4,6.4,0.9,0,0,98.5999999999983
2024-06-12,47,164,0.199999999999818,15.2,7.7,0.8,0,0,98.5999999999983
2024-06-13,48,165,0,9.3,-0.7,0.7,0,0,98.5999999999983
2024-06-14,49,166,0,11,3.2,0.7,0,0,98.5999999999983
2024-06-15,50,167,2.29999999999973,13.7,6,0.7,0,1.59999999999973,100.199999999998
2024-06-16,51,168,0.799999999999727,13.5,2,0.9,0,0,100.199999999998
2024-06-17,52,169,0,13.7,0.1,0.9,0,0,100.199999999998
