"parameter","parameter_value","objective","convergence","message","mu","sigma","R_top","R_bottom","k"
"mu",0.05,0.524899926811017,1,"NEW_X",0.05,1.8187745746092,3.56553552192027,10.156817259602,0.00452926836807572
"mu",0.181274052021992,0.518788177017702,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.181274052021992,2.5,0.756594854953075,9.01588637200158,0.0056471618782944
"mu",0.312548104043985,0.518293187211352,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.312548104043985,2.5,0.477230313903758,9.01605458062249,0.00612732732463143
"mu",0.908798104043985,0.519125696604472,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.908798104043985,2.5,0.183603259967909,9.01644047331582,0.00674520427818586
"mu",1.50504810404398,0.51968950514634,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.50504810404398,2.5,0.114631547043362,9.01680235536821,0.00692424853981798
"sigma",2.14,0.520791902359236,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.148685050827673,2.14,1.13983620235596,8.97059771752672,0.00571563452606005
"sigma",2.32,0.519722207869518,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.339151351148583,2.32,0.497264691428165,9.01591632948871,0.00631027292298333
"sigma",2.5,0.518293187211353,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.312548104528673,2.5,0.477230313903747,9.01605458062249,0.00612732732678808
"R_top",0.1,0.51983772059897,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.72914964771252,2.5,0.1,9.0143969828898,0.00695653207058982
"R_top",0.28861515681101,0.518598078818907,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.550152177487468,2.5,0.28861515681101,9.01557942263589,0.00649406870169021
"R_top",0.477230313622021,0.518293187211353,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.312548104528676,2.5,0.477230313622021,9.01605458062249,0.00612732732643471
"R_top",1.96973031362202,0.522177817772123,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.0823748337498957,2.06741132196364,1.96973031362202,9.06153982627723,0.00504440980525663
"R_top",3.46223031362202,0.525519895814409,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.0500241693562267,1.81814664326024,3.46223031362202,9.07241575164351,0.00435766824086016
"R_bottom",4.53105458062627,0.518517819827872,1,"NEW_X",0.662673484379442,2.46549176549436,0.23195054038563,4.53105458062627,0.00619589484922017
"R_bottom",6.77355458062627,0.518293187127292,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.415769026696522,2.5,0.358720628004853,6.77355458062627,0.00612692776068085
"R_bottom",9.01605458062627,0.518293187211353,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.312548104528673,2.5,0.477230313903747,9.01605458062627,0.0061273273267888
"R_bottom",11.2585545806263,0.518293187092539,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.250209845198566,2.5,0.596108610407865,11.2585545806263,0.00612716779680142
"R_bottom",13.5010545806263,0.518293188732079,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.208883362483977,2.5,0.714147195791348,13.5010545806263,0.00612792401066069
"k",0,0.561111520005811,1,"NEW_X",0.0591411570262072,1.68632086371961,1.9533399126508,2.68190748250998,0
"k",0.00306369107805068,0.531902865714082,1,"NEW_X",0.05,2.14401093057569,2.4540675797597,8.83503574512117,0.00306369107805068
"k",0.00612738215610136,0.518293187233298,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",0.312549283689375,2.5,0.477230999294253,9.01605457141164,0.00612738215610136
"k",0.00987738215610136,0.56910291037864,1,"NEW_X",2.08827337270001,2.5,0.1,13.9362414517617,0.00987738215610136
"k",0.0136273821561014,0.751654678939614,1,"NEW_X",3.11202401482004,2.12052272506614,0.1,9.40234170720317,0.0136273821561014
